Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
S		0.3.7	what,who	-	-	-			pu		question Pronouns: who or what	Answer is an argument, the antecedent of the pronoun.  Use -py for events (vo).
S		0.3.7	what	-	-	-			py		question Pronouns: what is $x_1:$	Answer is a predicate about the given arguments.  Use for events too (vo).
S		0.3.7,0.2.2	which	-	-	-	ha		pr		question Pronouns: which	Prefixed to an argument, it asks the listener to designate member(s) from the argument's referent subset.
S	17	0.3.7,0.2.5	is~it	-	-	-		ge,go	po		question Pronouns: mood marker	Answer is typically yes or no.
S		0.3.7,0.4.2	how~many	-	-	-	ho		pa		set $x_1s$ has how many members $x_2$ in extension	Answer is a numeric predicate.  This is a question pronoun and a quasidigit.
t		0.3.8	Assignable Variables	-	-	-			038			Assign as a name using -xim.  Also used as hexadecimal digits 10 to 15 (0.4.1).  A hex number must begin with a non-hex digit such as -cy (zero).
S		0.3.8,0.4.1	variable~d	-	-	-	da		da		assignable Variable 3 or digit 13	
S		0.3.8,0.4.1	variable~e	-	-	-	de		de		assignable Variable 4 or digit 14	
S		0.3.8,0.4.1	variable~f	-	-	-			di		assignable Variable 5 or digit 15	
S	179	0.3.8,0.4.1	variable~b	-	-	-	do		do		assignable Variable 1 or digit 11	
S		0.3.8,0.4.1	variable~c	-	-	-	du		du		assignable Variable 2 or digit 12	
S		0.3.8,0.4.1	variable~a	-	-	-	di		dy		assignable Variable 0 or digit 10	
t		0.4.0	Structure Words with Meaning	-	-	-			040			
t		0.4.1	Digits	-	-	-			041			Assignable variables (0.3.8) are used for hexadecimal digits 10 to 15.  A hex number must begin with a non-hex digit such as -cy (zero).
S		0.4.1	three	-	-	-	te		ca		$x_1s$ is a set of 3 members $x_2$, in extension	
S		0.4.1	four	-	-	-	fo		ce		$x_1s$ is a set of 4 members $x_2$, in extension	
S		0.4.1	five	-	-	-	fe		ci		$x_1s$ is a set of 5 members $x_2$, in extension	
S		0.4.1	E-	-	-	-			cn		negative power of ten follows	
S	25	0.4.1	one	-	-	-	ne		co		$x_1s$ is a set of 1 member $x_2$, in extension	
S		0.4.1	two	-	-	-	to		cu		$x_1s$ is a set of 2 members $x_2$, in extension	
S		0.4.1	decimal,point	-	-	-	pi	-	cw		$x_1s$ IEC a decimal fraction $x_2$, in extension	Digits: decimal point
S		0.4.1	zero	-	-	-	ni		cy		$x_1s$ is a set of 0 members $x_2$, in extension	
S		0.4.1	eight	-	-	-	vo		ka		$x_1s$ is a set of 8 members $x_2$, in extension	
S		0.4.1	nine	-	-	-	ve		ke		$x_1s$ is a set of 9 members $x_2$, in extension	
S		0.4.1	minus	-	-	-		vyn	kl		$x_1s$ is an equivalence class with a negative number of members $x_2$, in extension	Normally an unsigned number follows.
S		0.4.1	E+	-	-	-			kn		positive power of ten follows	
S		0.4.1	six	-	-	-	so		ko		$x_1s$ is a set of 6 members $x_2$, in extension	
S		0.4.1	seven	-	-	-	se		ku		$x_1s$ is a set of 7 members $x_2$, in extension	
t		0.4.2	Quasi-Digits	-	-	-			042			These come first in a number.
S		0.4.2	less	-	-	-	si		ta		$x_1s$ is a set with less than N members $x_2$, in extension	The number follows.  Alone: less than one.
S		0.4.2	less~equal	-	-	-	si		te		$x_1s$ is a set with less than or equal to N members $x_2$, in extension	The number follows.  Alone: at most one.
S		0.4.2	about	-	-	-	sa		ti		$x_1s$ is a set with approximately N members $x_2$, in extension	The number follows.  Alone: about one.
S		0.4.2	few	-	-	-	ri	pql	tm		$x_1s$ has few members $x_2$, in extesion	Use -pql for small degree.
S		0.4.2	more~equal	-	-	-	su		to		$x_1s$ is a set with greater than or equal to N members $x_2$, in extension	The number follows.  Alone: at least one.
S		0.4.2	ordinal	-	-	-	ri		tr		$x_1s$ is N'th in list (xy) $x_2s$ starting at origin $x_3$	The number follows.
S		0.4.2	more	-	-	-	su		tu		$x_1s$ is a set with more than N members $x_2$, in extension	The number follows.  Alone: more than one.
S		0.4.2	many	-	-	-	ro	fto	tw		$x_1s$ has many members $x_2$, in extension	Use -fto for great degree.
S		0.4.2,1.5.5	ordinal,next	-	-	-	ria	bny	tl		(vo) $x_1+$ is N'th in some sequence	Number follows; it means next if there is no number.  Mainly a decoration.
t		0.5.0	Letterals	-	-	-			050			A letteral means X1 is an instance of whatever letter.  To spell a word compound the letters; it means X1 is an instance of a word spelled thus.
P		0.5.1	#	-	-	-			#vla		$x_1$ is a Roman schwa	Written as \# sign.
t		0.5.1	Roman Lower Case Alphabet	-	-	-			051			
P		0.5.1	:	-	-	-			:zla		$x_1$ is a Roman glottal stop	Written as colon.
P		0.5.1	a	-	-	-			bxla	me me'o .a'y	$x_1$ is a Roman lower a	
P		0.5.1	e	-	-	-			bxle		$x_1$ is a Roman lower e	
P		0.5.1	i	-	-	-			bxli		$x_1$ is a Roman lower i	
P		0.5.1	m	-	-	-			bxlm		$x_1$ is a Roman lower m	
P		0.5.1	n	-	-	-			bxln		$x_1$ is a Roman lower n	
P		0.5.1	o	-	-	-			bxlo		$x_1$ is a Roman lower o	
P		0.5.1	r	-	-	-			bxlr		$x_1$ is a Roman lower r	
P		0.5.1	u	-	-	-			bxlu		$x_1$ is a Roman lower u	
P		0.5.1	w	-	-	-			bxlw		$x_1$ is a Roman lower w	
P		0.5.1	y	-	-	-			bxly		$x_1$ is a Roman lower y	
P		0.5.1	l	-	-	-			bxrl		$x_1$ is a Roman lower l	
P		0.5.1	b	-	-	-			bzla		$x_1$ is a Roman lower b	
P		0.5.1	c	-	-	-			cfla		$x_1$ is a Roman lower c	
P		0.5.1	d	-	-	-			dvla		$x_1$ is a Roman lower d	
P		0.5.1	h	-	-	-			fkla		$x_1$ is a Roman lower h	
P		0.5.1	f	-	-	-			fsla		$x_1$ is a Roman lower f	
P		0.5.1	g	-	-	-			gvla		$x_1$ is a Roman lower g	
P		0.5.1	j	-	-	-			jvla		$x_1$ is a Roman lower j	
P		0.5.1	k	-	-	-			kfla		$x_1$ is a Roman lower k	
P		0.5.1	p	-	-	-			psla		$x_1$ is a Roman lower p	
P		0.5.1	q	-	-	-			qfla		$x_1$ is a Roman lower q	
P		0.5.1	s	-	-	-			sfla		$x_1$ is a Roman lower s	
P		0.5.1	t	-	-	-			tfla		$x_1$ is a Roman lower t	
P		0.5.1	v	-	-	-			vzla		$x_1$ is a Roman lower v	
P		0.5.1	x	-	-	-			xvla		$x_1$ is a Roman lower x	
P		0.5.1	z	-	-	-			zvla		$x_1$ is a Roman lower z	
t		0.5.2	Roman Upper Case Alphabet	-	-	-			052			
P		0.5.2	B	-	-	-			bzle		$x_1$ is a Roman upper B	
P		0.5.2	C	-	-	-			cfle		$x_1$ is a Roman upper C	
P		0.5.2	D	-	-	-			dvle		$x_1$ is a Roman upper D	
P		0.5.2	H	-	-	-			fkle		$x_1$ is a Roman upper H	
P		0.5.2	F	-	-	-			fsle		$x_1$ is a Roman upper F	
P		0.5.2	G	-	-	-			gvle		$x_1$ is a Roman upper G	
P		0.5.2	J	-	-	-			jvle		$x_1$ is a Roman upper J	
P		0.5.2	K	-	-	-			kfle		$x_1$ is a Roman upper K	
P		0.5.2	P	-	-	-			psle		$x_1$ is a Roman upper P	
P		0.5.2	Q	-	-	-			qfle		$x_1$ is a Roman upper Q	
P		0.5.2	S	-	-	-			sfle		$x_1$ is a Roman upper S	
P		0.5.2	T	-	-	-			tfle		$x_1$ is a Roman upper T	
P		0.5.2	V	-	-	-			vzle		$x_1$ is a Roman upper V	
P		0.5.2	A	-	-	-			xbla		$x_1$ is a Roman upper A	
P		0.5.2	E	-	-	-			xble		$x_1$ is a Roman upper E	
P		0.5.2	I	-	-	-			xbli		$x_1$ is a Roman upper I	
P		0.5.2	M	-	-	-			xblm		$x_1$ is a Roman upper M	
P		0.5.2	N	-	-	-			xbln		$x_1$ is a Roman upper N	
P		0.5.2	O	-	-	-			xblo		$x_1$ is a Roman upper O	
P		0.5.2	R	-	-	-			xblr		$x_1$ is a Roman upper R	
P		0.5.2	U	-	-	-			xblu		$x_1$ is a Roman upper U	
P		0.5.2	W	-	-	-			xblw		$x_1$ is a Roman upper W	
P		0.5.2	Y	-	-	-			xbly		$x_1$ is a Roman upper Y	
P		0.5.2	L	-	-	-			xbrl		$x_1$ is a Roman upper L	
P		0.5.2	X	-	-	-			xvle		$x_1$ is a Roman upper X	
P		0.5.2	Z	-	-	-			zvle		$x_1$ is a Roman upper Z	
t		0.5.3	Greek Lower Case Alphabet	-	-	-			053			
P		0.5.3	breath	-	-	-			:zly		$x_1$ is a modern Greek breath mark	Written in Greek as apostrophe.
P		0.5.3	beta	-	-	-			bzly		$x_1$ is a Greek lower beta	
P		0.5.3	psi	-	-	-			cfly		$x_1$ is a Greek lower psi	
P		0.5.3	delta	-	-	-			dvly		$x_1$ is a Greek lower delta	
P		0.5.3	chi	-	-	-			fkly		$x_1$ is a Greek lower chi	
P		0.5.3	phi	-	-	-			fsly		$x_1$ is a Greek lower phi	
P		0.5.3	gamma	-	-	-			gvly		$x_1$ is a Greek lower gamma	
P		0.5.3	kappa	-	-	-			kfly		$x_1$ is a Greek lower kappa	
P		0.5.3	pi	-	-	-			psly		$x_1$ is a Greek lower pi	
P		0.5.3	theta	-	-	-			qfly		$x_1$ is a Greek lower theta	
P		0.5.3	sigma	-	-	-			sfly		$x_1$ is a Greek lower sigma	
P		0.5.3	tau	-	-	-			tfly		$x_1$ is a Greek lower tau	
P		0.5.3	alpha	-	-	-			vxla		$x_1$ is a Greek lower alpha	
P		0.5.3	epsilon	-	-	-			vxle		$x_1$ is a Greek lower epsilon	
P		0.5.3	iota	-	-	-			vxli		$x_1$ is a Greek lower iota	
P		0.5.3	mu	-	-	-			vxlm		$x_1$ is a Greek lower mu	
P		0.5.3	nu	-	-	-			vxln		$x_1$ is a Greek lower nu	
P		0.5.3	omicron	-	-	-			vxlo		$x_1$ is a Greek lower omicron	
P		0.5.3	rho	-	-	-			vxlr		$x_1$ is a Greek lower rho	
P		0.5.3	upsilon	-	-	-			vxlu		$x_1$ is a Greek lower upsilon	
P		0.5.3	omega	-	-	-			vxlw		$x_1$ is a Greek lower omega	
P		0.5.3	eta	-	-	-			vxly		$x_1$ is a Greek lower eta	
P		0.5.3	lambda	-	-	-			vxrl		$x_1$ is a Greek lower lambda	
P		0.5.3	xi	-	-	-			xvly		$x_1$ is a Greek lower xi	
P		0.5.3	zeta	-	-	-			zvly		$x_1$ is a Greek lower zeta	
t		0.5.4	Greek Upper Case Alphabet	-	-	-			054			
P		0.5.4	Beta	-	-	-			bzlo		$x_1$ is a Greek upper Beta	
P		0.5.4	Psi	-	-	-			cflo		$x_1$ is a Greek upper Psi	
P		0.5.4	Delta	-	-	-			dvlo		$x_1$ is a Greek upper Delta	
P		0.5.4	Chi	-	-	-			fklo		$x_1$ is a Greek upper Chi	
P		0.5.4	Phi	-	-	-			fslo		$x_1$ is a Greek upper Phi	
P		0.5.4	Gamma	-	-	-			gvlo		$x_1$ is a Greek upper Gamma	
P		0.5.4	Kappa	-	-	-			kflo		$x_1$ is a Greek upper Kappa	
P		0.5.4	Pi	-	-	-			pslo		$x_1$ is a Greek upper Pi	
P		0.5.4	Theta	-	-	-			qflo		$x_1$ is a Greek upper Theta	
P		0.5.4	Sigma	-	-	-			sflo		$x_1$ is a Greek upper Sigma	
P		0.5.4	Tau	-	-	-			tflo		$x_1$ is a Greek upper Tau	
P		0.5.4	Xi	-	-	-			xvlo		$x_1$ is a Greek upper Xi	
P		0.5.4	Alpha	-	-	-			zbla		$x_1$ is a Greek upper Alpha	
P		0.5.4	Epsilon	-	-	-			zble		$x_1$ is a Greek upper Epsilon	
P		0.5.4	Iota	-	-	-			zbli		$x_1$ is a Greek upper Iota	
P		0.5.4	Mu	-	-	-			zblm		$x_1$ is a Greek upper Mu	
P		0.5.4	Nu	-	-	-			zbln		$x_1$ is a Greek upper Nu	
P		0.5.4	Omicron	-	-	-			zblo		$x_1$ is a Greek upper Omicron	
P		0.5.4	Rho	-	-	-			zblr		$x_1$ is a Greek upper Rho	
P		0.5.4	Upsilon	-	-	-			zblu		$x_1$ is a Greek upper Upsilon	
P		0.5.4	Omega	-	-	-			zblw		$x_1$ is a Greek upper Omega	
P		0.5.4	Eta	-	-	-			zbly		$x_1$ is a Greek upper Eta	
P		0.5.4	Lambda	-	-	-			zbrl		$x_1$ is a Greek upper Lambda	
P		0.5.4	Zeta	-	-	-			zvlo		$x_1$ is a Greek upper Zeta	
t		1.0.0	Relations	-	-	-			100			All multi-place predicates are relations, but these are more ``relational'' than most.
t		1.1.0	Abstract Relations	-	-	-			110			
t		1.1.1	Abstract Comparison of Similar Items	-	-	-			111			
r		1.1.1	beyond	biiand	!dzai!na-bian	ultra	bancu*		bin		$x_1:$ is beyond $x_2:$ in relation (vo) $x_3+1$,2-4 with reference $x_4?$	X1 compared to X4 is more than X2-X4.  Default X4 is the modal default for X3.
r		1.1.1	chaos,disorder	caos	!bu-guei!liu	caos	kalsa*		cao		(xu) $x_1s$ is chaotic in property (vo) $x_2+S1$	X1 is a process or set and its members have property X2.
r		1.1.1	copy,original,prototype	kapi	!iaw|ben	eksempl.um	kopca	sur	pia		$x_1$ is a copy of the original $x_2*$	Use when the copy and the original can be distinguished.
